Pick #,Player Name,Position,Team,Winning Bid Amount,Notes
203,Robert Meachem,WR,Crackers,$9,
204,Laron Landry,DB,He Hate Me,$6,
205,Steve Smith,WR,Crackers,$7,
206,Josh Brown,K,Pestilence,$3,
207,Rob Bironas,K,Crackers,$4,
208,Robbie Gould,K,GoodFellas,$3,
209,Kevin Boss,TE,Crackers,$8,
210,LaMarr Woodley,LB,Brees Nuts,$4,
211,Sidney Rice,WR,Team Christman,$17,
212,Greg Olsen,TE,The Great Chewbaccas,$10,
213,Cameron Morrah,TE,Ghost of Derrick Thomas,$1,
214,Steve Smith,WR,Team Colbert,$15,
215,Mohamed Massaquoi,WR,Mc Gusto,$2,
216,John Carlson,TE,Crackers,$9,
217,Mike Williams,WR,Team Christman,$8,
218,Andy Dalton,QB,Mc Gusto,$22,
219,Daniel Fells,TE,Team Colbert,$4,
220,Colin Kaepernick,QB,Phinatics,$14,
221,Matt Bryant,K,Phinatics,$4,
222,Jordy Nelson,WR,Pillshovlers,$6,
223,Pierre Thomas,RB,Pestilence,$10,
224,Ryan Mallett,QB,Team Thompson,$4,
225,Johnathan Joseph,DB,Team Colbert,$3,
226,Gerald McCoy,DL,Pillshovlers,$4,
227,Asante Samuel,DB,Team Thompson,$7,
228,Ryan Williams,RB,Pillshovlers,$12,
229,Matt Hasselbeck,QB,Pestilence,$4,
230,Josh Scobee,K,Team Colbert,$2,
231,Chad Ochocinco,WR,Pillshovlers,$7,
232,Cameron Wake,LB,Phinatics,$10,
233,Jacoby Jones,WR,Pillshovlers,$7,
234,Eric Berry,DB,Ghost of Derrick Thomas,$10,
235,Fred Davis,TE,Team Thompson,$6,
236,Cameron Jordan,DL,Ghost of Derrick Thomas,$2,
237,Derrick Johnson,LB,Ghost of Derrick Thomas,$7,
238,Rey Maualuga,LB,Team Colbert,$2,
239,Louis Delmas,DB,Crackers,$1,
240,Bernard Scott,RB,Pillshovlers,$6,
241,Stephen Tulloch,LB,Pestilence,$5,
242,James Laurinaitis,LB,Team Thompson,$5,
243,Brian Cushing,LB,Pillshovlers,$8,
244,Dan Connor,LB,GoodFellas,$1,
245,Jonathan Vilma,LB,He Hate Me,$7,
246,Donald Driver,WR,Phinatics,$4,
247,Chris Wells,RB,Crackers,$8,
248,Matt Flynn,QB,Team Thompson,$4,
249,Ernie Sims,LB,Team Colbert,$3,
250,Terrell Suggs,LB,Crackers,$5,
251,Brian Orakpo,LB,Crackers,$3,
252,Leonard Hankerson,WR,Phinatics,$5,
253,Chad Greenway,LB,Mc Gusto,$3,
254,Curtis Marsh,DB,Team Thompson,$1,
255,Heath Miller,TE,Pillshovlers,$10,
256,Zach Miller,TE,GoodFellas,$1,
257,London Fletcher,LB,Pestilence,$2,
258,Charles Woodson,DB,Phinatics,$3,
259,Anthony Gonzalez,WR,Team Christman,$1,
260,Lance Kendricks,TE,Ghost of Derrick Thomas,$10,
261,Alterraun Verner,DB,Team Colbert,$1,
262,Calais Campbell,DL,Crackers,$7,
263,Jerome Simpson ,WR,Crackers,$3,
264,James Jones,WR,The Great Chewbaccas,$6,
265,Roy Helu,RB,Team Thompson,$15,
266,Joel Dreessen,TE,Pillshovlers,$7,
267,Michael Hoomanawanui,TE,GoodFellas,$1,
268,Steve Breaston,WR,Crackers,$7,
269,Earl Thomas,DB,Ghost of Derrick Thomas,$7,
270,Jordan Shipley,WR,Phinatics,$2,
271,Jacquizz Rodgers,RB,Ghost of Derrick Thomas,$3,
272,Patrick Cobbs,RB,Team Colbert,$1,
273,Nathaniel Allen,DB,Crackers,$1,
274,Kyle Rudolph,TE,Team Christman,$10,
275,Anthony Armstrong,WR,Pestilence,$9,
276,Billy Cundiff,K,Team Colbert,$2,
277,Ryan Succop,K,Ghost of Derrick Thomas,$2,
278,Eddie Royal,WR,GoodFellas,$3,
279,Alex Henery,K,The Great Chewbaccas,$1,
280,Paul Posluszny,LB,GoodFellas,$8,
281,Danny Woodhead,RB,Crackers,$8,
282,Earl Bennett,WR,Ghost of Derrick Thomas,$3,
283,Braylon Edwards,WR,Pestilence,$5,
284,Danario Alexander,WR,Team Colbert,$3,
285,Barrett Ruud,LB,Pestilence,$3,
286,John Kasay,K,Team Thompson,$1,
287,Deion Branch,WR,Pillshovlers,$3,
288,Martellus Bennett,TE,GoodFellas,$3,
289,Charles Johnson,DL,The Great Chewbaccas,$1,
290,Emmanuel Sanders,WR,Phinatics,$7,
291,David Buehler,K,Team Christman,$1,
292,Haloti Ngata,DL,Phinatics,$6,
293,Rob Housler,TE,Pestilence,$6,
294,Clinton Portis,RB,Pestilence,$1,
295,Titus Young,WR,Team Thompson,$5,
296,Nick Folk,K,Pillshovlers,$1,
297,Antoine Cason,DB,GoodFellas,$1,
298,Darren Sproles,RB,Pillshovlers,$4,
299,Yeremiah Bell,DB,Phinatics,$3,
300,Andre Roberts,WR,Team Christman,$1,
301,Dexter McCluster,WR,GoodFellas,$6,
302,Jeremy Shockey,TE,He Hate Me,$3,
303,Golden Tate,WR,Pestilence,$3,
304,Torrey Smith,WR,Team Thompson,$1,
305,Luke Stocker,TE,He Hate Me,$2,
306,Andrew Quarless,TE,Phinatics,$2,
307,Ben Tate,RB,Team Christman,$3,
308,Ed Reed,DB,Phinatics,$3,
309,DeAngelo Hall,DB,Ghost of Derrick Thomas,$5,
310,Bernard Pollard,DB,GoodFellas,$3,
311,Robert Mathis,DL,GoodFellas,$5,
312,Isaac Redman,RB,Pestilence,$3,
313,Lofa Tatupu,LB,Team Thompson,$3,
314,Shane Vereen,RB,Pillshovlers,$4,
315,Drew Stanton,QB,GoodFellas,$1,
316,Patrick Chung,DB,GoodFellas,$2,
317,Mike Tolbert,RB,Phinatics,$6,
